uuid,Members,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Units,Data class,Data type,_version:1,_order:1240
afd873c6-bc0a-45ba-a1da-73b0fa15ef89,Recent TB contact;Contact with?;If other specify;Signs of tuberculosis,,1. Comptage de TB,1. TB contact,1. Comptage de TB,1. TB contact,,Misc,N/A,,
05ce1efd-2046-494d-8378-43cf38fa450c,,,"Evènement depuis la dernière consultation (Pathologie aiguë, Evènement familial)","Events since last consultation (Acute Pathology, Family Event)","Evènement depuis la dernière consultation (Pathologie aiguë, Evènement familial)","Events since last consultation (Acute Pathology, Family Event)",,Misc,Text,,
932a67d0-b302-41bd-b999-2cf62fe906b8,,,Rein (annonce non faite),Nothing (disclosure not made),Rein (annonce non faite),Nothing (disclosure not made),,Misc,N/A,,
6affbef6-9a21-4479-92da-920164a0a040,,,"Microbe, virus (annonce partielle)","Germs, virus (disclosure partially made)","Microbe, virus (annonce partielle)","Germs, virus (disclosure partially made)",,Misc,N/A,,
5032228d-b2f0-4076-b893-54626245bdbe,,,VIH nimme (announce totale),HIV known (disclosure totally made),VIH nimme (announce totale),HIV known (disclosure totally made),,Misc,N/A,,
76a912af-702e-47a0-83c4-246900861296,,"Nothing (disclosure not made);Germs, virus (disclosure partially made);HIV Known (disclosure totally made)",Que sait l'enfant de sa maladie,What does the child know about their disease?,Que sait l'enfant de sa maladie,What does the child know about their disease?,,Misc,Coded,,
c229fc47-75b2-4ab9-b9a3-638acf21e623,,,1 Rendez-vous manque,1 Missed appointment,1 Rendez-vous manque,1 Missed appointment,,Misc,N/A,,
4ff7cffa-7073-4664-ad56-49e6799b7b8c,,,2 Rendez-vous manque,2 Missed appointments,2 Rendez-vous manque,2 Missed appointments,,Misc,N/A,,
79de4ba0-42c9-474f-952f-97b34d091af4,,,3 Rendez-vous manque,3 Missed appointments,3 Rendez-vous manque,3 Missed appointments,,Misc,N/A,,
b142d835-0ac0-40f9-8a9f-764c76e8dfa9,,Good;1 Missed appointment;2 Missed appointments;3 Missed appointments,Observance,Adherence,Observance,Adherence,,Misc,Coded,,
543780e5-ebeb-4edf-a618-dc1568037636,,,Mauvaise comprehension TARV,Poor understanding of ART,Mauvaise comprehension TARV,Poor understanding of ART,,Misc,N/A,,
48ef9f6e-b4b4-4baf-82c7-0fbe7ca84829,,,"Pb psycholo (deni, refus)","Psycho Problem (denial, no disclosure)","Pb psycholo (deni, refus)","Psycho Problem (denial, no disclosure)",,Misc,N/A,,
73bba5a9-4adf-4625-9dd3-36f0d31a1a9e,,,Pb social,Social Problem,Pb social,Social Problem,,Misc,N/A,,
5e49d60f-2306-4bed-b87d-3767111396ba,,,Rupture stock ARV (en pharmacie),ARV stock outs (at the pharmacy),Rupture stock ARV (en pharmacie),ARV stock outs (at the pharmacy),,Misc,N/A,,
c47829c9-aef0-4c43-a189-2f65cfed3f8e,,"Poor understanding of ART;Psycho Problem (denial, no disclosure);Social Problem;ARV stock outs (at the pharmacy)",Cause probable de non observance,Probable cause of non-compliance,Cause probable de non observance,Probable cause of non-compliance,,Misc,Coded,,
b26a4797-e441-4c92-8d32-2c9e0d7fa301,,,Effets secondaires attribuables aux ARV/allergie,Side effects due to ARV/ allergy,Effets secondaires attribuables aux ARV/allergie,Side effects due to ARV/ allergy,,Misc,Text,,
a0284e6f-d34b-4a4a-9fa4-7416721e67bf,,,Conclusion,Conclusion,Conclusion,Conclusion,,Misc,Text,,
cd0d1c27-f956-4a19-a09e-2989016c2ed5,"Events since last consultation (Acute Pathology, Family Event);What does the child know about their disease?;Adherence;Probable cause of non-compliance;Side effects due to ARV/ allergy;Conclusion",,2. Consultation suivi,2. Consultation follow up,2. Consultation suivi,2. Consultation follow up,,Misc,N/A,,
107ab460-2d5f-4598-9357-0215d56d75b2,WHO Stage,,3. Classification de l'OMS,3. WHO classification,3. Classification de l'OMS,3. WHO classification,,Misc,N/A,,
d5b6d715-624c-4204-a0a2-1f0ee64ba17c,,,Initiation ART,Starting ART,Initiation ART,Starting ART,,Misc,N/A,,
1fd1718f-5545-43ff-ac25-cce18b1e1db9,,,Changement TARV,Changing ART,Changement TARV,Changing ART,,Misc,N/A,,
3cf7578c-73a9-4f65-bb39-9ab3d1c22ac8,,,Reprise TARV,Restarting ART,Reprise TARV,Restarting ART,,Misc,N/A,,
7c732627-bee3-46ef-a828-97c95323ee31,,,Reconduction,Contintue ART,Reconduction,Contintue ART,,Misc,N/A,,
2f02df8b-3745-4864-8bf6-ccbf831c020c,,Starting ART;Changing ART;Restarting ART;Contintue ART,Decision therapeutique,Possible therapeutic change,Decision therapeutique,Possible therapeutic change,,Misc,Coded,,
19584516-3c76-4169-b250-37cbe0c4e3df,Possible therapeutic change;93abe599-63f4-4a94-9614-1d7d824e1e82;880dad2e-d582-4f81-a52d-68488897328f;ARV Protocol,,4. Traitement,4. Treatment,4. Traitement,4. Treatment,,Misc,N/A,,
2fff7421-f93f-430c-8d44-68fc931e777b,Referal to;Other Referral;Care Plan,,5. Référence/plan de soins,5. Referrals/care plan,5. Référence/plan de soins,5. Referrals/care plan,,Misc,N/A,,
02979ae4-b423-4927-9846-29970da5187a,,,Commentaires Agent de sante communautaire (ASC),Comments of the community health agent,Commentaires Agent de sante communautaire (ASC),Comments of the community health agent,,Misc,Text,,
f6121a49-f198-44a4-86a4-4be45fbd1d27,,,Nom et visa du prestataire de soins,Name and visa of the care provider,Nom et visa du prestataire de soins,Name and visa of the care provider,,Misc,Text,,
9e38f9c3-1f04-4221-b5c9-51d5adbe1931,1. TB contact;2. Consultation follow up;3. WHO classification;4. Treatment;5. Referrals/care plan;Comments of the community health agent;Name and visa of the care provider,,Fiche du patient avec VIH - enfant suivi,Patient with HIV - child follow up,Fiche du patient avec VIH - enfant suivi,Patient with HIV - child follow up,,Misc,N/A,,
